"iso_year","iso_week","growth_q_elec","growth_q_flights","growth_q_nedar","growth_q_ind","growth_q_no2","growth_q_omx","growth_q_ret","growth_q_ships","growth_q_unemp_in","growth_q_unemp_out","Pct_change_GDP"
2000,25,NA,NA,NA,NA,NA,NA,NA,NA,6.00965923580466,10.0224451170644,NA
2000,26,NA,NA,NA,-5.33968589917231,NA,-3.20863906960996,2.9296369488431,NA,4.82140541095972,10.9076549948061,1.4
2000,27,NA,NA,NA,NA,NA,-4.15302533204654,NA,NA,1.84532987995604,10.605344184221,NA
2000,28,NA,NA,NA,NA,NA,-4.72011587634745,NA,NA,5.06500272441363,9.27532511949308,NA
2000,29,NA,NA,NA,NA,NA,-5.06099967718707,NA,NA,6.32700269682368,10.9556493485626,NA
2000,30,NA,NA,NA,NA,NA,-5.63161995981416,NA,NA,4.41421549538682,8.10724430707617,NA
2000,31,NA,NA,NA,-2.67191467335096,NA,-6.43505576180485,2.03636961470311,NA,-1.49054280451276,9.3186777647288,NA
2000,32,NA,NA,NA,NA,NA,-7.48476089002162,NA,NA,-2.1045353795169,10.3918633670957,NA
2000,33,NA,NA,NA,NA,NA,-8.59112362593477,NA,NA,-4.28984632513324,10.2141890350369,NA
2000,34,NA,NA,NA,NA,NA,-9.98105364394626,NA,NA,-5.68447204186346,11.0095413255473,NA
2000,35,NA,NA,NA,3.01341068440742,NA,-10.7408522898213,0.264900817157686,NA,-7.52566766952837,12.3772676493828,NA
2000,36,NA,NA,NA,NA,NA,-10.9455993272972,NA,NA,-8.88497730417886,14.9991006437227,NA
2000,37,NA,NA,NA,NA,NA,-10.7759295901236,NA,NA,-9.40676193072426,12.7548207293316,NA
2000,38,NA,NA,NA,NA,NA,-10.0526900382851,NA,NA,-8.78957010156017,11.0070597878197,NA
2000,39,NA,NA,NA,9.25461461244748,NA,-9.20867711745934,0.697474492707195,NA,-7.94733985974413,10.2239226026473,1.1
2000,40,NA,NA,NA,NA,NA,-8.37357689561859,NA,NA,-4.70412535593461,11.2032972917507,NA
2000,41,NA,NA,NA,NA,NA,-7.72117911689275,NA,NA,-7.66477906423772,12.8508844551436,NA
2000,42,NA,NA,NA,NA,NA,-7.028044241782,NA,NA,-8.38923339591726,12.5194379460936,NA
2000,43,NA,NA,NA,NA,NA,-6.46942236464788,NA,NA,-6.45604083246252,15.0494509924675,NA
2000,44,NA,NA,NA,5.2742920154815,NA,-5.54526467678274,2.33878135260967,NA,-4.1481892846162,14.4421664504528,NA
2000,45,NA,NA,NA,NA,NA,-3.97554715834032,NA,NA,-3.75462501967115,12.9089618550412,NA
2000,46,NA,NA,NA,NA,NA,-2.23776589121004,NA,NA,-0.533456123627519,11.3009216699564,NA
2000,47,NA,NA,NA,NA,NA,0.0131978465983645,NA,NA,1.28756151051545,10.5963611067344,NA
